fecha_utc,fecha_bolivia,mercado,fiat,lado,mejor_precio_bruto,mejor_precio_limpio,promedio_top5_limpio,mediana_top10,descartados,precios_descartados,cantidad_anuncios,liquidez_total_usdt,mejor_min_orden,mejor_max_orden,mejor_comerciante,mejor_tipo,mejor_ordenes_mes,mejor_tasa_completado,metodos_pago_vistos,promocionados,precio_promocionado
2026-07-31 16:08:33,2026-07-31 12:08:33,BOB-todos,BOB,venta,11.96,11.96,11.934,11.915,0,,20,401024.36,15000,207000,TIMING-ZEN-CAPITAL,merchant,1893,0.997,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos|TigoMoney,1,11.66
2026-07-31 20:50:07,2026-07-31 16:50:07,USD-Zinli,USD,compra,1.031,1.031,1.0324,1.034,0,,20,28168.96,100,4000,RUBEN_TRADER,merchant,5649,0.989,ACHXpressPanama|Banesco|CajadeahorrosPanama|MercantilBankPanama|PuntoPagoPanama|Towerbank|TransferenciaACH|Zinli,1,1.095
2026-07-31 20:50:07,2026-07-31 16:50:07,USD-Zinli,USD,venta,1.024,1.024,1.0234,1.0225,0,,20,8767.16,90,91,ljmg1910,user,148,0.955,Zinli,1,0.971
2026-07-31 20:50:07,2026-07-31 16:50:07,BOB-todos,BOB,compra,12.0,12.0,12.008,12.01,0,,20,22761.66,10000,20647,mrs chaqueñita,user,43,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,12.1
2026-07-31 20:50:07,2026-07-31 16:50:07,BOB-todos,BOB,venta,12.0,12.0,11.994,11.99,0,,20,432892.57,10000,20000,AMERICO-PRO,merchant,4862,0.991,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,11.69
2026-08-01 06:48:11,2026-08-01 02:48:11,USD-Zinli,USD,compra,1.025,1.025,1.026,1.0275,0,,20,34543.79,10,300,RobertLuis,user,334,0.977,ACHXpressPanama|Banesco|CajadeahorrosPanama|MercantilBankPanama|PuntoPagoPanama|Towerbank|TransferenciaACH|Zinli,0,
2026-08-01 06:48:11,2026-08-01 02:48:11,USD-Zinli,USD,venta,1.021,1.021,1.0204,1.02,0,,20,12277.05,209,209,AleCaps422,user,8,0.889,MercantilBankPanama|Mony|Zinli,0,
2026-08-01 06:48:11,2026-08-01 02:48:11,BOB-todos,BOB,compra,11.77,11.77,11.804,11.84,0,,20,129547.19,20000,100000,CambiosEmeFok,merchant,1172,0.896,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-08-01 06:48:11,2026-08-01 02:48:11,BOB-todos,BOB,venta,11.73,11.73,11.718,11.705,0,,20,514873.3,5000,207000,YRZ_BOLIVIA_VIP,merchant,1596,0.991,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos|TigoMoney,0,
2026-08-01 11:48:25,2026-08-01 07:48:25,USD-Zinli,USD,compra,1.029,1.029,1.0322,1.0335,0,,20,53420.85,10,15000,FixnPlay,merchant,1689,0.955,ACHXpressPanama|Banesco|CajadeahorrosPanama|MercantilBankPanama|Mony|PuntoPagoPanama|TransferenciaACH|Zinli,0,
2026-08-01 11:48:25,2026-08-01 07:48:25,USD-Zinli,USD,venta,1.021,1.021,1.0204,1.02,0,,20,11287.28,209,209,AleCaps422,user,8,0.728,MercantilBankPanama|Mony|Zinli,0,
2026-08-01 11:48:25,2026-08-01 07:48:25,BOB-todos,BOB,compra,11.8,11.8,11.808,11.815,0,,20,65739.64,5000,207000,BOLIVIA_USDT_SEGURO,merchant,8244,0.999,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,0,
2026-08-01 11:48:25,2026-08-01 07:48:25,BOB-todos,BOB,venta,11.77,11.77,11.756,11.75,0,,20,630390.95,100,45000,Garyaa,user,24,0.8,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos|TigoMoney,0,
2026-08-01 15:47:53,2026-08-01 11:47:53,USD-Zinli,USD,compra,1.032,1.032,1.0324,1.0335,0,,20,32870.38,100,4000,RUBEN_TRADER,merchant,5610,0.989,MercantilBankPanama|Mony|Towerbank|Zinli,1,1.09
2026-08-01 15:47:53,2026-08-01 11:47:53,USD-Zinli,USD,venta,1.025,1.025,1.024,1.022,0,,20,8484.72,200,1000,3lpriet0,user,139,0.993,Zinli,1,0.983
2026-08-01 15:47:53,2026-08-01 11:47:53,BOB-todos,BOB,compra,11.56,11.56,11.56,11.565,0,,20,238581.61,55,138390,juliavargas,user,269,0.944,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,11.85
2026-08-01 15:47:53,2026-08-01 11:47:53,BOB-todos,BOB,venta,11.53,11.53,11.526,11.52,0,,20,735884.23,3200,10000,JHONSE,merchant,465,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,1,11.25
2026-08-01 20:15:39,2026-08-01 16:15:39,USD-Zinli,USD,compra,1.032,1.032,1.0332,1.034,0,,20,26105.39,12,198,betocambios1103,user,75,0.915,ACHXpressPanama|BancoGeneralPanama|MercantilBankPanama|Mony|Towerbank|YappyPanama|Zinli,1,1.09
2026-08-01 20:15:39,2026-08-01 16:15:39,USD-Zinli,USD,venta,1.026,1.026,1.0254,1.0245,0,,20,6548.26,500,1000,Supermich7,user,207,0.904,Zinli,0,
2026-08-01 20:15:39,2026-08-01 16:15:39,BOB-todos,BOB,compra,11.67,11.67,11.67,11.67,0,,20,144745.17,400,5000,User-49717,user,145,0.961,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|CIHBankNew,1,11.98
2026-08-01 20:15:39,2026-08-01 16:15:39,BOB-todos,BOB,venta,11.64,11.64,11.63,11.62,0,,20,553913.29,10000,207585,CRIPTO_RACXEL,merchant,2720,0.985,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos|TigoMoney,1,11.06
2026-08-01 23:47:48,2026-08-01 19:47:48,USD-Zinli,USD,compra,1.031,1.031,1.0316,1.032,0,,20,98176.47,200,1050,PAGOSCRYPTO507,merchant,933,0.991,ACHXpressPanama|BancoGeneralPanama|MercantilBankPanama|Mony|PuntoPagoPanama|Towerbank|YappyPanama|Zinli,0,
2026-08-01 23:47:48,2026-08-01 19:47:48,USD-Zinli,USD,venta,1.023,1.023,1.0222,1.022,0,,20,10306.94,50,299,cleiber27,user,32,1.0,MercantilBankPanama|Zinli,0,
2026-08-01 23:47:48,2026-08-01 19:47:48,BOB-todos,BOB,compra,11.69,11.69,11.69,11.695,0,,20,43440.81,200,138390,MatíasDenerCripto,user,264,0.927,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.99
2026-08-01 23:47:48,2026-08-01 19:47:48,BOB-todos,BOB,venta,11.68,11.68,11.678,11.665,0,,20,788599.47,20000,207500,Josewar98,merchant,1945,0.995,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion|SoliPagos,1,11.28
2026-08-02 09:02:00,2026-08-02 05:02:00,USD-Zinli,USD,compra,1.03,1.03,1.0304,1.0315,0,,20,43278.06,150,1500,Cycinvesment,user,71,0.973,BancoGeneralPanama|MercantilBankPanama|Towerbank|WallyTech|Zinli,0,
2026-08-02 09:02:00,2026-08-02 05:02:00,USD-Zinli,USD,venta,1.021,1.021,1.0202,1.02,0,,20,8594.43,10,1500,Transfiero-Rapido,user,121,0.924,Zinli,0,
2026-08-02 09:02:00,2026-08-02 05:02:00,BOB-todos,BOB,compra,11.7,11.7,11.714,11.725,0,,20,82363.3,55,8535,MALEKITH_,user,68,1.0,BANK|BancoDeBolivia|BancoDeCredito|BancoEconomico|BancoFIE|BancoGanadero|BancoSantaCruz|BancoSolidario|BancoUnion,0,
